eal,Trade Date,Settlement Date,Asset/Account,Description,Note,Type,Category,Fee,Quantity,Security,Amount (CAD),Original Currency Amount,Exchange Rate
672fa8b2c88c94995849344c,10/30/24,10/30/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent 97 mayor payments B2YXY3,,withdrawal,,,-,,-500,-500 CAD,1
672fa8b2c88c949958493452,10/30/24,10/30/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent Small Ball Z4TUBJ,,withdrawal,,,-,,-500,-500 CAD,1
672fa8b2c88c949958493458,10/30/24,10/30/24,RBC Online Banking (RBC Advantage Banking),e-Transfer - Autodeposit ATHANASIA  FILNTISSIS C1AVA33nPTPH,,deposit,,,-,,20,20 CAD,1
672fa8b2c88c94995849345e,10/30/24,10/30/24,RBC Online Banking (RBC Advantage Banking),e-Transfer - Autodeposit Koko Helga Saar CAMq4Rsb,,deposit,,,-,,1000,1000 CAD,1
672faa8d1179cb833f285777,10/30/24,10/30/24,CIBC Online Banking (Recommended) (Chequing),Internet Banking E-TRANSFER XXXXXXXX5034 MATEUS SAAR,,transfer,Transfers,,-,,500,500 CAD,1
672fa8b2c88c94995849342e,10/29/24,10/29/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 8538 TIM HORTONS #36,,withdrawal,,,-,,-2.1,-2.1 CAD,1
672fa8b2c88c949958493434,10/29/24,10/29/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 0877 A & W # 0540,,withdrawal,,,-,,-11.53,-11.53 CAD,1
672fa8b2c88c94995849343a,10/29/24,10/29/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 8372 COSTCO WHOLESAL,,withdrawal,,,-,,-13.64,-13.64 CAD,1
672fa8b2c88c949958493440,10/29/24,10/29/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent Small Ball XW5XNL,,withdrawal,,,-,,-25,-25 CAD,1
672faa8d1179cb833f285771,10/29/24,10/29/24,CIBC Online Banking (Recommended) (Chequing),Electronic Funds Transfer PREAUTHORIZED DEBIT 2XX1139RBC PYT,,transfer,Transfers,,-,,-1183.95,-1183.95 CAD,1
672fa8b2c88c9499584933f8,10/28/24,10/28/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 9295 COSTCO WHOLESAL,,withdrawal,,,-,,-8.16,-8.16 CAD,1
672fa8b2c88c9499584933fe,10/28/24,10/28/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 9278 STARBUCKS COFFE,,withdrawal,,,-,,-15.55,-15.55 CAD,1
672fa8b2c88c949958493404,10/28/24,10/28/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 4215 COSTCO WHOLESAL,,withdrawal,,,-,,-138.05,-138.05 CAD,1
672fa8b2c88c94995849340a,10/28/24,10/28/24,RBC Online Banking (RBC Advantage Banking),Misc Payment GOODLIFE CLUBS,,withdrawal,,,-,,-45.99,-45.99 CAD,1
672fa8b2c88c949958493410,10/28/24,10/28/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent Small Ball CYMGY4,,withdrawal,,,-,,-25,-25 CAD,1
672fa8b2c88c949958493416,10/28/24,10/28/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent jim tobin DRMMXT,,withdrawal,,,-,,-95,-95 CAD,1
672fa8b2c88c94995849341c,10/28/24,10/28/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent jim tobin NTRM2T,,withdrawal,,,-,,-30,-30 CAD,1
672fa8b2c88c949958493422,10/28/24,10/28/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent 97 mayor payments ZSWAHJ,,withdrawal,,,-,,-1000,-1000 CAD,1
672fa8b2c88c949958493428,10/28/24,10/28/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent Small Ball SW9PEK,,withdrawal,,,-,,-80,-80 CAD,1
672faa8a1179cb833f2855a7,10/28/24,10/28/24,CIBC Online Banking (Recommended) (CIBC VISA),HARVEY'S HOME HEATING ST. JOHN'S  NL 4XXX********9545,,withdrawal,Home Improvement,,-,,-1266.23,-1266.23 CAD,1
672faa8a1179cb833f2855ad,10/28/24,10/28/24,CIBC Online Banking (Recommended) (CIBC VISA),PAYMENT THANK YOU/PAIEMEN T MERCI 4XXX********9545,,transfer,Credit Card Payments,,-,,1000,1000 CAD,1
672faa8d1179cb833f285765,10/28/24,10/28/24,CIBC Online Banking (Recommended) (Chequing),Internet Banking E-TRANSFER XXXXXXXX4970 MATEUS SAAR,,transfer,Transfers,,-,,1000,1000 CAD,1
672faa8d1179cb833f28576b,10/28/24,10/28/24,CIBC Online Banking (Recommended) (Chequing),Internet Banking INTERNET TRANSFER XXXXXXXX9625,,transfer,Transfers,,-,,-1000,-1000 CAD,1
672fa8b2c88c9499584933f2,10/25/24,10/25/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 6071 A & W # 0540,,withdrawal,,,-,,-11.53,-11.53 CAD,1
672fa8b2c88c9499584933e0,10/24/24,10/24/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 7053 COSTCO WHOLESAL,,withdrawal,,,-,,-13.64,-13.64 CAD,1
672fa8b2c88c9499584933e6,10/24/24,10/24/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 0720 A & W # 0540,,withdrawal,,,-,,-17.03,-17.03 CAD,1
672fa8b2c88c9499584933ec,10/24/24,10/24/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent Small Ball F7LA7D,,withdrawal,,,-,,-25,-25 CAD,1
672fa8b2c88c9499584933da,10/23/24,10/23/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 6254 A & W # 0540,,withdrawal,,,-,,-6.03,-6.03 CAD,1
672faa8a1179cb833f2855a1,10/23/24,10/23/24,CIBC Online Banking (Recommended) (CIBC VISA),AMZN Mktp CA*4U6BV4AB3 WWW.AMAZON.CA  ON 4XXX********9545,,withdrawal,General Merchandise,,-,,-76.1,-76.1 CAD,1
672fa8b2c88c9499584933c8,10/22/24,10/22/24,RBC Online Banking (RBC Advantage Banking),e-Transfer - Autodeposit EVA REDMOND C1Addb7bdXAn,,deposit,,,-,,1190,1190 CAD,1
672fa8b2c88c9499584933ce,10/22/24,10/22/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 0370 COSTCO WHOLESAL,,withdrawal,,,-,,-10.88,-10.88 CAD,1
672fa8b2c88c9499584933d4,10/22/24,10/22/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent 97 mayor payments Q7XL6N,,withdrawal,,,-,,-1000,-1000 CAD,1
672faa8a1179cb833f28559b,10/22/24,10/22/24,CIBC Online Banking (Recommended) (CIBC VISA),PAYMENT THANK YOU/PAIEMEN T MERCI 4XXX********9545,,transfer,Credit Card Payments,,-,,250,250 CAD,1
672faa8d1179cb833f285759,10/22/24,10/22/24,CIBC Online Banking (Recommended) (Chequing),Internet Banking E-TRANSFER XXXXXXXX4088 MATEUS SAAR,,transfer,Transfers,,-,,1000,1000 CAD,1
672faa8d1179cb833f28575f,10/22/24,10/22/24,CIBC Online Banking (Recommended) (Chequing),Internet Banking INTERNET TRANSFER XXXXXXXX2548,,transfer,Transfers,,-,,-250,-250 CAD,1
672fa8b2c88c9499584933a4,10/21/24,10/21/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 1669 A & W # 0540,,withdrawal,,,-,,-11.53,-11.53 CAD,1
672fa8b2c88c9499584933aa,10/21/24,10/21/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 7196 COSTCO WHOLESAL,,withdrawal,,,-,,-11.73,-11.73 CAD,1
672fa8b2c88c9499584933b0,10/21/24,10/21/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 5719 A&W STORE 0566,,withdrawal,,,-,,-24.32,-24.32 CAD,1
672fa8b2c88c9499584933b6,10/21/24,10/21/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent Small Ball KAVF7N,,withdrawal,,,-,,-15,-15 CAD,1
672fa8b2c88c9499584933bc,10/21/24,10/21/24,RBC Online Banking (RBC Advantage Banking),e-Transfer - Autodeposit ATHANASIA  FILNTISSIS C1A7GUpttBCx,,deposit,,,-,,62,62 CAD,1
672fa8b2c88c9499584933c2,10/21/24,10/21/24,RBC Online Banking (RBC Advantage Banking),Interac purchase - 1039 COSTCO WHOLESAL,,withdrawal,,,-,,-136.04,-136.04 CAD,1
672fa8e2c88c949958493bfe,10/21/24,10/21/24,RBC Online Banking (RBC Cash Back Mastercard),APPLE.COM/BILL,,withdrawal,,,-,,-32.75,-32.75 CAD,1
672fa8e2c88c949958493c04,10/21/24,10/21/24,RBC Online Banking (RBC Cash Back Mastercard),APPLE.COM/BILL,,withdrawal,,,-,,-14.68,-14.68 CAD,1
672faa8a1179cb833f285595,10/19/24,10/19/24,CIBC Online Banking (Recommended) (CIBC VISA),AMZN Mktp CA WWW.AMAZON.CA  ON 4XXX********9545,,deposit,General Merchandise,,-,,27.99,27.99 CAD,1
672fa8b2c88c949958493392,10/18/24,10/18/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 3031 A & W # 0540,,withdrawal,,,-,,-6.03,-6.03 CAD,1
672fa8b2c88c949958493398,10/18/24,10/18/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 2280 COSTCO WHOLESAL,,withdrawal,,,-,,-11.73,-11.73 CAD,1
672fa8b2c88c94995849339e,10/18/24,10/18/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent Small Ball FEHJ3Q,,withdrawal,,,-,,-15,-15 CAD,1
672faa8a1179cb833f28558f,10/18/24,10/18/24,CIBC Online Banking (Recommended) (CIBC VISA),AMZN Mktp CA*FZ69Y3C73 WWW.AMAZON.CA  ON 4XXX********9545,,withdrawal,General Merchandise,,-,,-27.99,-27.99 CAD,1
672faa8c1179cb833f28574d,10/18/24,10/18/24,CIBC Online Banking (Recommended) (Chequing),Internet Banking INTERNET TRANSFER XXXXXXXX9619,,transfer,Transfers,,-,,-38.78,-38.78 CAD,1
672faa8d1179cb833f285753,10/18/24,10/18/24,CIBC Online Banking (Recommended) (Chequing),Internet Banking INTERNET TRANSFER XXXXXXXX7864,,transfer,Transfers,,-,,-50,-50 CAD,1
672fa8b2c88c94995849337a,10/17/24,10/17/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 3721 A & W # 0540,,withdrawal,,,-,,-6.03,-6.03 CAD,1
672fa8b2c88c949958493380,10/17/24,10/17/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 9403 COSTCO WHOLESAL,,withdrawal,,,-,,-10.88,-10.88 CAD,1
672fa8b2c88c949958493386,10/17/24,10/17/24,RBC Online Banking (RBC Advantage Banking),Payroll Deposit NUYTCO RESEARCH,,deposit,,,-,,2083.46,2083.46 CAD,1
672fa8b2c88c94995849338c,10/17/24,10/17/24,RBC Online Banking (RBC Advantage Banking),e-Transfer sent 97 mayor payments X6VNZZ,,withdrawal,,,-,,-500,-500 CAD,1
672faa8a1179cb833f285577,10/17/24,10/17/24,CIBC Online Banking (Recommended) (CIBC VISA),AMZN Mktp CA*8B6L98XT3 WWW.AMAZON.CA  ON 4XXX********9545,,withdrawal,General Merchandise,,-,,-33.49,-33.49 CAD,1
672faa8a1179cb833f28557d,10/17/24,10/17/24,CIBC Online Banking (Recommended) (CIBC VISA),PAYMENT THANK YOU/PAIEMEN T MERCI 4XXX********9545,,transfer,Credit Card Payments,,-,,100,100 CAD,1
672faa8a1179cb833f285583,10/17/24,10/17/24,CIBC Online Banking (Recommended) (CIBC VISA),PAYMENT THANK YOU/PAIEMEN T MERCI 4XXX********9545,,transfer,Credit Card Payments,,-,,50,50 CAD,1
672faa8a1179cb833f285589,10/17/24,10/17/24,CIBC Online Banking (Recommended) (CIBC VISA),AMZN Mktp CA*V365L8713 WWW.AMAZON.CA  ON 4XXX********9545,,withdrawal,General Merchandise,,-,,-22.97,-22.97 CAD,1
672faa8b1179cb833f28561a,10/17/24,10/17/24,CIBC Online Banking (Recommended) (CIBC VISA),PAYMENT THANK YOU/PAIEMEN T MERCI 4XXX********6831,,transfer,Credit Card Payments,,-,,38.78,38.78 CAD,1
672faa8c1179cb833f285741,10/17/24,10/17/24,CIBC Online Banking (Recommended) (Chequing),Internet Banking E-TRANSFER XXXXXXXX8592 MATEUS SAAR,,transfer,Transfers,,-,,500,500 CAD,1
672faa8c1179cb833f285747,10/17/24,10/17/24,CIBC Online Banking (Recommended) (Chequing),Internet Banking INTERNET TRANSFER XXXXXXXX1687,,transfer,Transfers,,-,,-100,-100 CAD,1
672fa8b2c88c949958493368,10/16/24,10/16/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 7728 COSTCO WHOLESAL,,withdrawal,,,-,,-5.44,-5.44 CAD,1
672fa8b2c88c94995849336e,10/16/24,10/16/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 7137 A & W # 0540,,withdrawal,,,-,,-11.53,-11.53 CAD,1
672fa8b2c88c949958493374,10/16/24,10/16/24,RBC Online Banking (RBC Advantage Banking),e-Transfer - Autodeposit ATHANASIA  FILNTISSIS C1AMEgHANmfH,,deposit,,,-,,20,20 CAD,1
672fa8e2c88c949958493bf8,10/16/24,10/16/24,RBC Online Banking (RBC Cash Back Mastercard),OVERLIMIT FEE,,withdrawal,,,-,,-29,-29 CAD,1
672fa8b1c88c9499584932fc,10/15/24,10/15/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 9531 A & W # 0540,,withdrawal,,,-,,-6.03,-6.03 CAD,1
672fa8b1c88c949958493302,10/15/24,10/15/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 5090 NAYAX CANADA IN,,withdrawal,,,-,,-10,-10 CAD,1
672fa8b1c88c949958493308,10/15/24,10/15/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 8274 MCDONALD'S #726,,withdrawal,,,-,,-11.11,-11.11 CAD,1
672fa8b1c88c94995849330e,10/15/24,10/15/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 8285 A & W # 0540,,withdrawal,,,-,,-11.53,-11.53 CAD,1
672fa8b1c88c949958493314,10/15/24,10/15/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 3635 COSTCO WHOLESAL,,withdrawal,,,-,,-13.64,-13.64 CAD,1
672fa8b1c88c94995849331a,10/15/24,10/15/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 0744 BCF-SWB SELF SE,,withdrawal,,,-,,-19.1,-19.1 CAD,1
672fa8b1c88c949958493320,10/15/24,10/15/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 5190 BCF - TSAWWASSE,,withdrawal,,,-,,-19.1,-19.1 CAD,1
672fa8b1c88c949958493326,10/15/24,10/15/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 6225 BCF-SWB SELF SE,,withdrawal,,,-,,-19.1,-19.1 CAD,1
672fa8b1c88c94995849332c,10/15/24,10/15/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 6284 BCF-TSA SELF SE,,withdrawal,,,-,,-19.1,-19.1 CAD,1
672fa8b1c88c949958493332,10/15/24,10/15/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 2624 COSTCO WHOLESAL,,withdrawal,,,-,,-20.83,-20.83 CAD,1
672fa8b1c88c949958493338,10/15/24,10/15/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac purchase - 1051 GLASSBOX VICTOR,,withdrawal,,,-,,-60,-60 CAD,1
672fa8b1c88c94995849333e,10/15/24,10/15/24,RBC Online Banking (RBC Advantage Banking),Contactless Interac Transit - 2494 TLNK/0458781911,,withdrawal,,,-,,-3.2,-3.2 CAD,1
